UNITID,iheName,MSI_Flag,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,studentsRecipientsTotal,eligibleStudentsTotal,studentPortionDisbursedTotal,avgStudentAward,pct_eligible_who_received_aid_by_inst,pct_enrolled_who_received_aid_by_inst,pct_enrolled_who_were_eligible,pctPell,pct_received_who_are_pell,eligiblePellUG,eligibleNonPellUG,eligibleUG,receivedPellUG,receivedNonPellUG,receivedUG,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OPEID,SECTOR,ICLEVEL,CONTROL,INSTCAT,LANDGRNT,INSTSIZE,LOCALE,POSTSEC,LONGITUD,LATITUDE,FT_Previous_Cohort_2017,FT_Previous_Cohort_2018,FT_Previous_Cohort_2019,FT_Previous_Cohort_2020,FT_Previous_Cohort_2021,FT_Previous_Cohort_Adj_2017,FT_Previous_Cohort_Adj_2018,FT_Previous_Cohort_Adj_2019,FT_Previous_Cohort_Adj_2020,FT_Previous_Cohort_Adj_2021,FT_Retention_N_2017,FT_Retention_N_2018,FT_Retention_N_2019,FT_Retention_N_2020,FT_Retention_N_2021,FT_Retention_Rate_2017,FT_Retention_Rate_2018,FT_Retention_Rate_2019,FT_Retention_Rate_2020,FT_Retention_Rate_2021,New_Cohort_2017,New_Cohort_2018,New_Cohort_2019,New_Cohort_2020,New_Cohort_2021,New_UG_2017,New_UG_2018,New_UG_2019,New_UG_2020,New_UG_2021,PT_Previous_Cohort_2017,PT_Previous_Cohort_2018,PT_Previous_Cohort_2019,PT_Previous_Cohort_2020,PT_Previous_Cohort_2021,PT_Previous_Cohort_Adj_2017,PT_Previous_Cohort_Adj_2018,PT_Previous_Cohort_Adj_2019,PT_Previous_Cohort_Adj_2020,PT_Previous_Cohort_Adj_2021,PT_Retention_N_2017,PT_Retention_N_2018,PT_Retention_N_2019,PT_Retention_N_2020,PT_Retention_N_2021,PT_Retention_Rate_2017,PT_Retention_Rate_2018,PT_Retention_Rate_2019,PT_Retention_Rate_2020,PT_Retention_Rate_2021
420705,BAKKE GRADUATE UNIVERSITY,0,0,0,0,0,0,0,0,NA,8,1331,NA,NA,NA,5.594405594,NA,NA,0,0,0,0,0,NA,Bakke Graduate University,8515 Greenville Ave S206,Dallas,TX,75243-7039,48,3110800,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,"Degree-granting, graduate with no undergraduate degrees",Not a Land Grant Institution,"Under 1,000",City: Large,1,-96.753976,32.894605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459523,ABC BEAUTY ACADEMY,0,0,0,0,0,0,0,0,NA,NA,75257.72,NA,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA,ABC Beauty Academy,2109 Buckingham Rd.,Richardson,TX,75081,48,4168800,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Midsize,1,-96.685333,32.931698,NA,8,10,7,25,NA,8,10,7,25,NA,2,5,4,20,NA,25,50,57,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,100,0,NA,NA
388520,COLLEGE OF BIBLICAL STUDIES - HOUSTON,1,0,0,0,0,0,1,0,84,392,142673,1698.488095,21.42857143,21.93211488,102.3498695,NA,69.04761905,223,169,392,58,26,84,College of Biblical Studies-Houston,7000 Regency Square Blvd.,Houston,TX,77036-3211,48,3422400,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Not a Land Grant Institution,"Under 1,000",City: Large,1,-95.506559,29.716676,5,0,0,4,8,5,0,0,4,8,1,0,0,4,5,20,NA,NA,100,63,5,NA,7,19,80,79,NA,325,150,337,13,0,1,28,39,13,0,1,28,39,7,0,1,14,29,54,NA,100,50,74
366261,COMMONWEALTH INSTITUTE OF FUNERAL SERVICE,0,0,0,0,0,0,0,0,29,49,32045,1105,59.18367347,9.294871795,15.70512821,0.548,NA,NA,NA,NA,NA,NA,NA,Commonwealth Institute of Funeral Service,415 Barren Springs Dr,Houston,TX,77090-5918,48,355600,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Degree-granting, associate's and certificates",Not a Land Grant Institution,"Under 1,000",City: Large,1,-95.430153,29.989545,55,38,33,80,49,55,38,33,80,49,40,18,22,31,26,73,47,67,39,53,38,33,80,33,55,51,51,115,56,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229337,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,1,0,0,0,0,0,1,0,980,5081,938916,958.077551,19.28754182,13.39712919,69.46001367,NA,30.27522936,327,1233,1560,66,152,218,Texas Tech University Health Sciences Center,3601 4th Street,Lubbock,TX,79430,48,1067400,"Public, 4-year or above",Four or more years,Public,"Degree-granting, primarily baccalaureate or above",Not a Land Grant Institution,"5,000 - 9,999",City: Large,1,-101.891915,33.589284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227216,UNIVERSITY OF NORTH TEXAS,1,0,0,0,0,0,1,0,12611,30087,11170849.91,885.8020704,41.91511284,28.68548552,68.43709483,0.383,50.96518442,13312,12996,26308,5914,5690,11604,University of North Texas,1501 W.Chestnut Ave.,Denton,TX,76203-1277,48,359400,"Public, 4-year or above",Four or more years,Public,"Degree-granting, primarily baccalaureate or above",Not a Land Grant Institution,"20,000 and above",City: Midsize,1,-97.148422,33.211178,4554,4720,4571,5308,5071,4550,4713,4566,5305,5071,3542,3685,3617,4522,4010,78,78,79,85,79,4895,4770,5501,5121,5363,9141,9019,10018,9470,9675,88,95,103,100,172,88,95,103,100,172,47,54,60,63,101,53,57,58,63,59
224271,DALLAS INSTITUTE OF FUNERAL SERVICE,0,0,0,0,0,0,0,0,189,190,110935,586.957672,99.47368421,51.63934426,51.91256831,0.382,NA,151,39,190,NA,NA,189,Dallas Institute of Funeral Service,3909 S Buckner Blvd,Dallas,TX,75227-4314,48,1076100,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Degree-granting, associate's and certificates",Not a Land Grant Institution,"Under 1,000",City: Large,1,-96.683404,32.771368,24,31,52,74,96,24,31,52,74,96,19,16,38,58,74,79,52,73,78,77,31,52,74,88,130,88,171,186,262,350,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
369783,PRINCE CAREER'S INC,0,0,0,0,0,0,0,0,262,262,627600,2395.419847,100,34.47368421,34.47368421,0.876,NA,NA,NA,262,NA,NA,262,PCI Health Training Center,8101 John Carpenter Fwy,Dallas,TX,75247-4720,48,3019800,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Large,1,-96.876316,32.82007,92,119,116,407,232,92,119,116,407,232,88,100,113,342,232,96,84,97,84,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441788,"TECHNICAL EDUCATION SERVICES, INC.",0,0,0,0,0,0,0,0,548,548,512059,934.4142336,100,60.55248619,60.55248619,0.414,58.39416058,320,228,548,320,228,548,Aviation Institute of Maintenance-Dallas,400 E. Airport Freeway,Irving,TX,75061,48,3573300,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Midsize,1,-96.941822,32.836068,78,47,32,57,70,78,47,32,57,70,27,32,27,29,56,35,68,84,51,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,5,NA,NA,NA,29,5,NA,NA,NA,5,0,NA,NA,NA,17,0,NA,NA,NA
377218,SCHOOL OF AUTOMOTIVE MACHINISTS & TECHNOLOGY,0,0,0,0,0,0,0,0,134,142,165456,1234.746269,94.36619718,57.0212766,60.42553191,0.588,61.94029851,88,54,142,83,51,134,School of Automotive Machinists & Technology,1911 Antoine Drive,Houston,TX,77055-1803,48,3032300,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Degree-granting, associate's and certificates",Not a Land Grant Institution,"Under 1,000",City: Large,1,-95.476017,29.805166,25,20,21,19,13,25,19,21,19,13,24,18,19,19,13,96,95,90,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365204,"COMPUTER CAREER CENTER, LP",0,0,0,0,0,0,0,0,3270,3270,6248771.38,1910.93926,100,59.56284153,59.56284153,0.703,90.82568807,2970,300,3270,2970,300,3270,Vista College,6101 Montana Ave,El Paso,TX,79925-2021,48,2572000,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Degree-granting, associate's and certificates",Not a Land Grant Institution,"1,000 - 4,999",City: Large,1,-106.411952,31.786912,1711,1289,147,143,NA,1711,1285,147,143,NA,949,765,57,55,NA,55,60,39,38,NA,1289,147,143,91,NA,1289,1198,1177,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458043,"DUVALLS SCHOOL OF COSMETOLOGY, LLC",0,0,0,0,0,0,0,0,70,70,97694,1395.628571,100,38.88888889,38.88888889,0.579,58.57142857,41,29,70,41,29,70,DuVall's School of Cosmetology,201 Harwood Rd Ste 218,Bedford,TX,76021,48,4154800,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",Suburb: Large,1,-97.168105,32.852275,8,9,16,17,26,8,9,16,17,26,8,3,14,13,23,100,33,88,76,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,8,1,4,7,0,8,1,4,4,0,3,1,4,57,NA,38,100,100
246354,PALO ALTO COLLEGE,1,0,0,0,0,0,1,0,2720,5154,1615469,593.9224265,52.77454404,16.33633634,30.95495495,0.674,97.31617647,4175,979,NA,2647,73,2720,Palo Alto College,1400 W Villaret Blvd,San Antonio,TX,78224-2499,48,2341300,"Public, 2-year",At least 2 but less than 4 years,Public,"Degree-granting, associate's and certificates",Not a Land Grant Institution,"10,000 - 19,999",City: Large,1,-98.543468,29.322955,494,670,713,948,742,494,670,713,948,742,306,419,436,507,447,62,63,61,53,60,670,713,948,742,583,2033,2081,2579,2503,2383,880,986,832,820,1304,880,986,832,820,1304,374,421,345,248,344,43,43,41,30,26
434274,ACADEMY OF HAIR DESIGN,0,0,0,0,0,0,0,0,65,65,126613,1947.892308,100,45.13888889,45.13888889,0.792,100,65,NA,65,65,0,65,Academy of Hair Design-Lufkin,512 S Chestnut,Lufkin,TX,75904,48,3276300,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",Town: Remote,1,-94.718704,31.330724,55,55,52,52,52,55,55,52,52,52,16,17,17,17,19,29,31,33,33,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,21,24,23,23,23,21,24,23,23,5,6,6,6,8,22,29,25,26,35
