UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
189592,"R",13,"R",50,"R",26,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",7
189705,"R",553,"R",672,"R",82,"R",597,"R",3,"R",0,"R",594,"R",491,"R",83,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
189714,"A",,"A",,"A",,"R",14,"R",0,"R",0,"R",14,"R",8,"R",57,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",12
189811,"A",,"A",,"A",,"R",13,"Z",0,"Z",0,"R",13,"R",7,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"R",21
189839,"R",517,"R",1258,"R",41,"R",486,"Z",0,"Z",0,"R",486,"R",267,"R",55,"R",57,"Z",0,"Z",0,"R",57,"R",14,"R",25,"R",24
189848,"R",165,"R",279,"R",59,"R",199,"R",0,"R",0,"R",199,"R",135,"R",68,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",10
189857,"R",36,"R",210,"R",17,"R",28,"R",0,"R",0,"R",28,"R",18,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"R",35
189954,"A",,"A",,"A",,"R",13,"R",0,"R",0,"R",13,"R",8,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
189990,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",30
190008,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",8,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
190044,"R",677,"R",845,"R",80,"R",797,"R",0,"R",0,"R",797,"R",676,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
190053,"R",265,"R",750,"R",35,"R",271,"R",1,"Z",0,"R",270,"R",155,"R",57,"R",25,"Z",0,"Z",0,"R",25,"R",11,"R",44,"R",16
190071,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5
190099,"R",771,"R",799,"R",96,"R",766,"R",0,"R",0,"R",766,"R",722,"R",94,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
190114,"R",96,"R",328,"R",29,"R",38,"R",0,"R",0,"R",38,"R",18,"R",47,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
190150,"R",1434,"R",2162,"R",66,"R",1442,"R",5,"R",0,"R",1437,"R",1401,"R",97,"R",32,"R",0,"R",0,"R",32,"R",29,"R",91,"R",6
190169,"R",228,"R",423,"R",54,"R",269,"Z",0,"Z",0,"R",269,"R",165,"R",61,"R",47,"Z",0,"Z",0,"R",47,"R",21,"R",45,"R",18
190239,"A",,"A",,"A",,"R",39,"R",0,"Z",0,"R",39,"R",30,"R",77,"R",19,"R",0,"Z",0,"R",19,"R",16,"R",84,"R",20
190248,"R",151,"R",527,"R",29,"R",139,"R",0,"R",0,"R",139,"R",105,"R",76,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",11
190293,"A",,"A",,"A",,"R",10,"R",0,"Z",0,"R",10,"R",3,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
190309,"A",,"A",,"A",,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
190318,"A",,"A",,"A",,"R",22,"Z",0,"Z",0,"R",22,"R",16,"R",73,"R",13,"Z",0,"Z",0,"R",13,"R",10,"R",77,"R",20
190372,"R",191,"R",221,"R",86,"R",222,"R",4,"R",0,"R",218,"R",210,"R",96,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",9
190415,"R",3349,"R",4052,"R",83,"R",3314,"R",4,"R",0,"R",3310,"R",3215,"R",97,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",9
190442,"R",696,"R",935,"R",74,"R",644,"Z",0,"Z",0,"R",644,"R",398,"R",62,"R",80,"Z",0,"Z",0,"R",80,"R",28,"R",35,"R",19
190451,"R",20,"R",23,"R",87,"R",14,"R",0,"R",0,"R",14,"R",10,"R",71,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",6
190503,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",19
190512,"R",1599,"R",3700,"R",43,"R",1400,"R",0,"R",0,"R",1400,"R",1257,"R",90,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",19
190521,"R",5469,"R",9717,"R",56,"R",5805,"R",0,"R",0,"R",5805,"R",3651,"R",63,"R",775,"R",0,"R",0,"R",775,"R",347,"R",45,"R",27
190530,"R",1917,"R",3697,"R",52,"R",1751,"R",0,"R",0,"R",1751,"R",1026,"R",59,"R",181,"R",0,"R",0,"R",181,"R",73,"R",40,"R",21
190549,"R",1642,"R",4664,"R",35,"R",1320,"R",0,"R",0,"R",1320,"R",1076,"R",82,"R",10,"R",0,"R",0,"R",10,"R",9,"R",90,"R",16
190558,"R",2584,"R",3748,"R",69,"R",604,"R",0,"R",0,"R",604,"R",462,"R",76,"R",17,"R",0,"R",0,"R",17,"R",9,"R",53,"R",18
190567,"R",1683,"R",3778,"R",45,"R",1805,"R",0,"R",0,"R",1805,"R",1551,"R",86,"R",22,"R",0,"R",0,"R",22,"R",16,"R",73,"R",14
190576,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
190585,"R",1040,"R",2644,"R",39,"R",913,"R",0,"R",0,"R",913,"R",559,"R",61,"R",128,"R",0,"R",0,"R",128,"R",56,"R",44,"R",21
190594,"R",2330,"R",5035,"R",46,"R",2193,"R",0,"R",0,"R",2193,"R",1828,"R",83,"R",15,"R",0,"R",0,"R",15,"R",12,"R",80,"R",12
190600,"R",1831,"R",4215,"R",43,"R",1506,"R",0,"R",0,"R",1506,"R",1173,"R",78,"R",16,"R",0,"R",0,"R",16,"R",8,"R",50,"R",18
190619,"R",1848,"R",7156,"R",26,"R",2019,"R",0,"R",0,"R",2019,"R",1421,"R",70,"R",94,"R",0,"R",0,"R",94,"R",42,"R",45,"R",22
190628,"R",2576,"R",8213,"R",31,"R",2654,"R",0,"R",0,"R",2654,"R",1711,"R",64,"R",440,"R",0,"R",0,"R",440,"R",134,"R",30,"R",24
190637,"R",919,"R",4051,"R",23,"R",672,"R",0,"R",0,"R",672,"R",559,"R",83,"R",18,"R",0,"R",0,"R",18,"R",11,"R",61,"R",16
190646,"R",1144,"R",2097,"R",55,"R",105,"R",0,"R",0,"R",105,"R",74,"R",70,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",20
190655,"R",3107,"R",5827,"R",53,"R",572,"R",0,"R",0,"R",572,"R",449,"R",78,"R",15,"R",0,"R",0,"R",15,"R",9,"R",60,"R",18
190664,"R",1639,"R",5049,"R",32,"R",1453,"R",0,"R",0,"R",1453,"R",1218,"R",84,"R",28,"R",0,"R",0,"R",28,"R",20,"R",71,"R",15
190673,"R",2880,"R",6133,"R",47,"R",2998,"R",0,"R",0,"R",2998,"R",2015,"R",67,"R",318,"R",0,"R",0,"R",318,"R",156,"R",49,"R",21
190691,"R",1087,"R",3362,"R",32,"R",936,"R",0,"R",0,"R",936,"R",662,"R",71,"R",35,"R",0,"R",0,"R",35,"R",23,"R",66,"R",20
190707,"A",,"A",,"A",,"R",5,"Z",0,"Z",0,"R",5,"R",4,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
190716,"R",276,"R",510,"R",54,"R",239,"R",0,"R",0,"R",239,"R",188,"R",79,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",11
190725,"R",387,"R",660,"R",59,"R",392,"R",0,"R",0,"R",392,"R",300,"R",77,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",12
190752,"R",15,"R",15,"R",100,"R",10,"R",0,"R",0,"R",10,"R",8,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
190761,"R",229,"R",382,"R",60,"R",253,"R",0,"R",0,"R",253,"R",186,"R",74,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",15
190840,"R",1554,"R",2142,"R",73,"R",1586,"Z",0,"Z",0,"R",1586,"R",987,"R",62,"R",196,"Z",0,"Z",0,"R",196,"R",98,"R",50,"R",20
190956,"A",,"A",,"A",,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",4
190974,"R",9,"R",45,"R",20,"R",8,"R",0,"R",0,"R",8,"R",3,"R",38,"R",6,"R",0,"R",0,"R",6,"R",4,"R",67,"R",9
190983,"R",204,"R",250,"R",82,"R",207,"R",0,"R",0,"R",207,"R",134,"R",65,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
191083,"R",2065,"R",3378,"R",61,"R",2131,"Z",0,"Z",0,"R",2131,"R",1141,"R",54,"R",244,"Z",0,"Z",0,"R",244,"R",85,"R",35,"R",19
191126,"R",1248,"R",2338,"R",53,"R",1248,"Z",0,"Z",0,"R",1248,"R",1111,"R",89,"R",25,"Z",0,"Z",0,"R",25,"R",11,"R",44,"R",15
191199,"R",1070,"R",1500,"R",71,"R",952,"Z",0,"Z",0,"R",952,"R",515,"R",54,"R",90,"Z",0,"Z",0,"R",90,"R",39,"R",43,"R",20
191205,"R",147,"R",224,"R",66,"R",145,"R",0,"R",0,"R",145,"R",91,"R",63,"R",8,"R",0,"R",0,"R",8,"R",1,"R",13,"R",15
191241,"R",2269,"R",2749,"R",83,"R",2189,"R",0,"R",0,"R",2189,"R",1996,"R",91,"R",10,"R",0,"R",0,"R",10,"R",5,"R",50,"R",15
191287,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
191302,"R",527,"R",633,"R",83,"R",539,"Z",0,"Z",0,"R",539,"R",272,"R",50,"R",44,"Z",0,"Z",0,"R",44,"R",19,"R",43,"R",17
191311,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
191339,"R",825,"R",1291,"R",64,"R",823,"Z",0,"Z",0,"R",823,"R",461,"R",56,"R",91,"Z",0,"Z",0,"R",91,"R",43,"R",47,"R",15
191515,"R",480,"R",510,"R",94,"R",472,"R",0,"R",0,"R",472,"R",452,"R",96,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
191533,"R",351,"R",394,"R",89,"R",402,"Z",0,"Z",0,"R",402,"R",283,"R",70,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",10
191597,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
191612,"R",599,"R",954,"R",63,"R",644,"R",0,"Z",0,"R",644,"R",359,"R",56,"R",16,"Z",0,"Z",0,"R",16,"R",7,"R",44,"R",22
191621,"R",167,"R",229,"R",73,"R",143,"R",0,"R",0,"R",143,"R",101,"R",71,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",12
191630,"R",634,"R",667,"R",95,"R",581,"R",0,"R",0,"R",581,"R",499,"R",86,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
191649,"R",1637,"R",2020,"R",81,"R",1646,"R",5,"R",0,"R",1641,"R",1322,"R",81,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",13
191676,"R",266,"R",310,"R",86,"R",271,"R",0,"R",0,"R",271,"R",217,"R",80,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",11
191719,"R",2077,"R",3353,"R",62,"R",2067,"Z",0,"Z",0,"R",2067,"R",1212,"R",59,"R",205,"Z",0,"Z",0,"R",205,"R",86,"R",42,"R",19
191728,"A",,"A",,"A",,"R",357,"R",0,"R",0,"R",357,"R",286,"R",80,"R",165,"R",0,"R",0,"R",165,"R",131,"R",79,"R",16
191931,"R",860,"R",1102,"R",78,"R",935,"R",0,"R",0,"R",935,"R",704,"R",75,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",15
191940,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
191959,"R",38,"R",38,"R",100,"R",47,"R",0,"R",0,"R",47,"R",42,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",27
191968,"R",1622,"R",1746,"R",93,"R",1632,"R",2,"R",0,"R",1630,"R",1348,"R",83,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
191986,"R",752,"R",1029,"R",73,"R",754,"R",0,"R",0,"R",754,"R",420,"R",56,"R",59,"Z",0,"Z",0,"R",59,"R",19,"R",32,"R",15
192004,"R",114,"R",128,"R",89,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",28
192022,"R",740,"R",1096,"R",68,"R",761,"Z",0,"Z",0,"R",761,"R",414,"R",54,"R",93,"Z",0,"Z",0,"R",93,"R",22,"R",24,"R",18
