"","UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR","Year"
"57",102377,"R",748,"R",843,"R",89,"R",615,"R",0,"R",0,"R",615,"R",420,"R",68,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",14,2017
"58",102395,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",6,2017
"59",102429,"R",646,"R",1672,"R",39,"R",507,"R",0,"R",0,"R",507,"R",275,"R",54,"R",193,"R",0,"R",0,"R",193,"R",93,"R",48,"R",16,2017
"60",102553,"R",1344,"R",3204,"R",42,"R",949,"Z",0,"Z",0,"R",949,"R",659,"R",69,"R",247,"Z",0,"Z",0,"R",247,"R",126,"R",51,"R",15,2017
"61",102580,"R",7,"R",14,"R",50,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",8,2017
"62",102614,"R",638,"R",1633,"R",39,"R",449,"Z",0,"Z",0,"R",449,"R",346,"R",77,"R",42,"Z",0,"Z",0,"R",42,"R",27,"R",64,"R",11,2017
"63",102632,"R",155,"R",433,"R",36,"R",70,"R",0,"R",0,"R",70,"R",49,"R",70,"R",6,"R",0,"R",0,"R",6,"R",1,"R",17,"R",10,2017
"64",102669,"R",32,"R",125,"R",26,"R",37,"R",0,"R",0,"R",37,"R",29,"R",78,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",9,2017
"65",102711,"A",NA,"A",NA,"A",NA,"R",196,"R",0,"R",0,"R",196,"R",163,"R",83,"R",892,"R",0,"R",0,"R",892,"R",890,"R",100,"R",15,2017
"66",102845,"A",NA,"A",NA,"A",NA,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",25,2017
"67",103501,"A",NA,"A",NA,"A",NA,"R",129,"R",0,"R",0,"R",129,"R",91,"R",71,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",16,2017
"68",103741,"A",NA,"A",NA,"A",NA,"R",41,"R",0,"Z",0,"R",41,"R",26,"R",63,"R",9,"R",0,"Z",0,"R",9,"R",5,"R",56,"R",21,2017
"69",103811,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",7,2017
"70",103893,"A",NA,"A",NA,"A",NA,"R",101,"R",0,"R",0,"R",101,"R",72,"R",71,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",42,2017
"71",103909,"A",NA,"A",NA,"A",NA,"R",68,"R",0,"R",0,"R",68,"R",46,"R",68,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",27,2017
"72",103927,"A",NA,"A",NA,"A",NA,"R",54,"R",0,"R",0,"R",54,"R",29,"R",54,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",38,2017
"73",103945,"A",NA,"A",NA,"A",NA,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9,2017
"74",103954,"A",NA,"A",NA,"A",NA,"R",6,"R",0,"R",0,"R",6,"R",4,"R",67,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"75",103963,"A",NA,"A",NA,"A",NA,"R",360,"R",0,"R",0,"R",360,"R",245,"R",68,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",24,2017
"76",104090,"A",NA,"A",NA,"A",NA,"R",88,"R",0,"R",0,"R",88,"R",20,"R",23,"R",125,"R",0,"R",0,"R",125,"R",62,"R",50,"R",10,2017
"77",104151,"R",7822,"R",10992,"R",71,"R",8185,"R",55,"R",0,"R",8130,"R",7040,"R",87,"R",45,"R",0,"R",0,"R",45,"R",24,"R",53,"R",20,2017
"78",104160,"R",647,"R",2264,"R",29,"R",625,"R",0,"R",0,"R",625,"R",401,"R",64,"R",856,"R",0,"R",0,"R",856,"R",340,"R",40,"R",20,2017
"79",104179,"R",5902,"R",10067,"R",59,"R",5997,"R",19,"R",0,"R",5978,"R",4981,"R",83,"R",1756,"R",0,"R",0,"R",1756,"R",1085,"R",62,"R",15,2017
"80",104188,"R",21,"R",28,"R",75,"R",24,"R",0,"R",0,"R",24,"R",21,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",11,2017
"81",104346,"R",514,"R",1853,"R",28,"R",503,"R",0,"R",0,"R",503,"R",270,"R",54,"R",727,"R",0,"R",0,"R",727,"R",237,"R",33,"R",16,2017
"82",104364,"N",31,"N",31,"N",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"N",13,2017
"83",104391,"A",NA,"A",NA,"A",NA,"R",85,"R",0,"Z",0,"R",85,"R",65,"R",76,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"84",104425,"R",444,"R",909,"R",49,"R",453,"R",0,"R",0,"R",453,"R",282,"R",62,"R",280,"R",0,"R",0,"R",280,"R",85,"R",30,"R",16,2017
"85",104434,"A",NA,"A",NA,"A",NA,"R",19,"R",0,"Z",0,"R",19,"R",12,"R",63,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",16,2017
"86",104443,"A",NA,"A",NA,"A",NA,"R",13,"R",0,"Z",0,"R",13,"R",10,"R",77,"R",10,"R",0,"Z",0,"R",10,"R",7,"R",70,"R",19,2017
"87",104504,"A",NA,"A",NA,"A",NA,"R",18,"R",0,"R",0,"R",18,"R",15,"R",83,"R",18,"R",0,"R",0,"R",18,"R",14,"R",78,"R",30,2017
"88",104568,"A",NA,"A",NA,"A",NA,"R",121,"R",2,"R",0,"R",119,"R",103,"R",87,"R",134,"R",4,"R",0,"R",130,"R",113,"R",87,"R",15,2017
"89",104577,"R",350,"R",2014,"R",17,"R",453,"R",91,"Z",0,"R",362,"R",187,"R",52,"R",590,"R",10,"R",0,"R",580,"R",262,"R",45,"R",19,2017
"90",104586,"R",678,"R",787,"R",86,"R",599,"R",0,"R",0,"R",599,"R",520,"R",87,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",18,2017
"91",104708,"R",1680,"R",5230,"R",32,"R",1698,"R",0,"Z",0,"R",1698,"R",1123,"R",66,"R",1105,"R",0,"Z",0,"R",1105,"R",464,"R",42,"R",22,2017
"92",104717,"R",2399,"R",16132,"R",15,"R",2375,"R",0,"R",0,"R",2375,"R",1559,"R",66,"R",729,"R",0,"R",0,"R",729,"R",285,"R",39,"R",19,2017
"93",105145,"R",312,"R",1646,"R",19,"R",334,"R",0,"Z",0,"R",334,"R",179,"R",54,"R",249,"R",0,"Z",0,"R",249,"R",105,"R",42,"R",14,2017
"94",105154,"R",1375,"R",5583,"R",25,"R",1589,"R",0,"Z",0,"R",1589,"R",1013,"R",64,"R",1149,"R",0,"Z",0,"R",1149,"R",487,"R",42,"R",21,2017
"95",105206,"R",153,"R",913,"R",17,"R",174,"R",0,"R",0,"R",174,"R",83,"R",48,"R",408,"R",0,"R",0,"R",408,"R",166,"R",41,"R",13,2017
"96",105215,"A",NA,"A",NA,"A",NA,"R",229,"R",0,"R",0,"R",229,"R",184,"R",80,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",28,2017
"97",105297,"R",91,"R",280,"R",33,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",16,2017
"98",105330,"R",5261,"R",8794,"R",60,"R",5009,"R",1,"R",0,"R",5008,"R",3798,"R",76,"R",594,"R",0,"R",0,"R",594,"R",296,"R",50,"R",19,2017
"99",105349,"R",70,"R",717,"R",10,"R",61,"R",0,"R",0,"R",61,"R",19,"R",31,"R",120,"R",0,"R",0,"R",120,"R",25,"R",21,"R",14,2017
"100",105367,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",8,2017
